"","image","plate","column","row","particles","area","perim","mean","circ","AR","round","solidity","r","g","b","sqmm"
"1","IMG_2100 3.jpg",1,1,"A",2,2789,296.149,85,0.6615,1.931,0.537,0.9105,96.9915,101.9415,49.8175,1.66712085493633
"2","IMG_2100 3.jpg",1,1,"B",3,8138,616.825,85,0.660666666666667,1.986,0.547333333333333,0.925333333333333,85.883,95.1793333333333,41.93,4.86447813462597
"3","IMG_2100 3.jpg",1,1,"C",1,7654,507.671,85.038,0.373,2.26,0.443,0.817,75.216,87.243,33.743,4.57516781057104
"4","IMG_2100 3.jpg",1,1,"D",1,6543,355.362,85.183,0.651,1.608,0.622,0.912,74.88,86.078,32.761,3.91106911217224
"5","IMG_2100 3.jpg",1,1,"E",2,6755,499.387,85,0.6665,2.0415,0.492,0.937,88.387,96.06,43.611,4.03779181609712
"6","IMG_2100 3.jpg",1,1,"F",1,5521,344.475,85.024,0.585,1.824,0.548,0.878,98.708,104.291,43.757,3.30017003947775
"7","IMG_2100 3.jpg",1,1,"G",1,742,189.439,85,0.26,5.538,0.181,0.746,84.627,89.376,43.964,0.443529463737093
"8","IMG_2100 3.jpg",1,1,"H",2,8097,508.985,85.014,0.7315,1.577,0.634,0.9545,57.824,69.421,23.2045,4.83997044188578
"9","IMG_2100 3.jpg",1,2,"A",2,24157,952.815,85,0.6645,1.537,0.652,0.913,74.248,88.094,29.3645,14.4398130127991
"10","IMG_2100 3.jpg",1,2,"B",1,15754,821.252,85.002,0.294,2.244,0.446,0.663,87.489,98.996,38.412,9.41693149826708
"11","IMG_2100 3.jpg",1,2,"C",2,10621,701.353,85,0.58,2.597,0.4175,0.883,84.0205,94.7265,33.2095,6.348687916916
"12","IMG_2100 3.jpg",1,2,"D",1,31384,1300.604,85,0.233,1.184,0.845,0.728,79.989,92.606,32.5,18.7597421697102
"13","IMG_2100 3.jpg",1,2,"E",1,7822,517.37,85.039,0.367,2.659,0.376,0.823,106.986,112.726,48.894,4.67558957594548
"14","IMG_2100 3.jpg",1,2,"F",2,14651,689.352,85,0.749,1.6075,0.6265,0.941,77.334,90.8505,33.443,8.75761478869563
"15","IMG_2100 3.jpg",1,2,"G",2,7871,752.891,87.3625,0.42,1.76,0.6135,0.8955,109.959,112.794,54.312,4.70487925751302
"16","IMG_2100 3.jpg",1,2,"H",1,10047,522.399,85,0.463,2.469,0.405,0.813,78.446,90.033,32.911,6.00558021855334
"17","IMG_2100 3.jpg",1,3,"A",3,26310,1236.295,85.0003333333333,0.649666666666667,2.076,0.508,0.907,73.0276666666667,86.8496666666667,28.0483333333333,15.7267657559608
"18","IMG_2100 3.jpg",1,3,"B",1,1779,324.836,85.052,0.212,3.123,0.32,0.692,102.192,107.338,57.994,1.06339476548287
"19","IMG_2100 3.jpg",1,3,"C",3,14077,812.548,85.0853333333333,0.801666666666667,1.36166666666667,0.740333333333333,0.963666666666667,83.187,93.2093333333333,37.243,8.41450709033297
"20","IMG_2100 3.jpg",1,3,"D",3,22840,1109.384,85.0816666666667,0.700333333333333,1.837,0.553,0.922333333333333,82.753,96.268,34.6336666666667,13.652578102096
"21","IMG_2100 3.jpg",1,3,"E",2,10482,603.914,85.002,0.663,1.8235,0.557,0.9235,94.2375,104.2305,45.886,6.26560086104072
"22","IMG_2100 3.jpg",1,3,"F",3,19568,1028.029,85,0.692,1.81166666666667,0.567666666666667,0.909666666666667,76.5536666666667,89.924,26.9903333333333,11.6967446717081
"23","IMG_2100 3.jpg",1,3,"G",1,1569,267.439,84.997,0.276,7.418,0.135,0.818,87.505,93.262,50.668,0.937867558764824
